id,question,answerKey,choice_0,choice_1,choice_2,choice_3
Mercury_7145250,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?",1,Both have undergone similar mutations.,Both descended from a common ancestor.,Both reacted similarly to environmental pressures.,Both spread out from the same geographical region.
Mercury_7220903,A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning,0,cell membrane.,endoplasmic reticulum.,Golgi body.,nuclear envelope.
Mercury_SC_416457,Which best describes all unicellular organisms?,3,Every cell is round.,Every cell can make food.,Every cell can move on its own.,Every cell performs all life functions.
Mercury_7015313,"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?",3,Particles travel from right to left along the wave.,Particles travel from left to right along the wave.,Particles move back and forth parallel to the wave.,Particles move back and forth perpendicular to the wave.
Mercury_7001663,Which characteristic below most likely accounts for our limited knowledge of galaxies?,3,their tiny size,their magnetic cores,their inability to produce light,their great distance from Earth
Mercury_7172778,Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?,1,by adding carbon,by adding nitrogen,by removing excess water,by removing excess minerals
Mercury_7024168,"When oxygen combines with hydrogen, which substance is formed?",0,water,vinegar,hydrochloric acid,hydrogen dioxide
Mercury_7150360,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?",0,chemical energy,kinetic energy,light energy,heat energy
Mercury_7071558,Which of the following is a typical example of a unicellular organism?,1,earthworm,bacteria,fungi,green algae
Mercury_7245403,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?",3,erosion of sediment from a mountain range,mass extinction of marine organisms,formation of an ocean trench,melting of polar ice caps
Mercury_SC_401822,Which body system is most responsible for the removal of waste?,3,skeletal system,nervous system,muscular system,excretory system
OHAT_2007_8_23,In which environment is white fur color an advantage for survival?,2,desert,grassland,arctic tundra,temperate forest
Mercury_7212380,Which of these will best separate iron filings from sand?,2,water,a magnifying glass,a magnet,rubbing alcohol
Mercury_414132,Which of these is the chemical symbol for magnesium?,1,Ma,Mg,Mn,Mu
Mercury_7121800,Which of the following is most likely to lead to error in an experiment?,0,bias,repeated trials,peer review,use of a control
MCAS_2001_8_2,Which best describes transportation technology?,0,a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy
Mercury_7121765,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?",3,radiant energy,nuclear energy,electrical energy,mechanical energy
Mercury_7011165,Which characteristic is affected by interactions with the environment?,0,weight,eye color,blood type,handedness
Mercury_7033793,Which is the greatest impact humans have had on the carbon cycle?,2,clear-cutting forests,manufacturing plastics,burning fossil fuels,growing agricultural crops
Mercury_SC_400301,The floating arrow on a compass always points towards the,3,west.,east.,south.,north.
NYSEDREGENTS_2016_4_21,"Which color shirt will reflect the most light on a hot, sunny day?",3,black,blue,red,white
MCAS_2005_9_13,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?",3,Iron is twice as dense as aluminum.,Atoms of aluminum are smaller than atoms of iron.,Using equal masses results in similar heat capacities.,The specific heat of iron is less than that of aluminum.
MCAS_1999_4_31,"If its food supply in a field decreases, the mouse population in that field will probably",1,increase.,decrease.,remain the same.,become extinct.
Mercury_7234413,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,2,release of carbon into the atmosphere,release of oxygen into the atmosphere,cycling phosphorus into the soil,cycling hydrogen into the soil
MCAS_2007_8_5167,Which of the following is an example of a physical change but not a chemical change?,3,A log gives off heat and light as it burns.,A tree stores energy from the Sun in its fruit.,A penny lost in the grass slowly changes color.,A water pipe freezes and cracks on a cold night.
Mercury_7080938,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the",2,room is totally dark.,light source is ultraviolet.,beam of light does not travel toward the students.,room walls are shielded with insulating material.
Mercury_SC_408443,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,0,the amount of fertilizer added,the height of the fertilized plants,the size of each tomato produced,the number of tomatoes produced
VASoL_2007_3_5,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,1,Wheel and axle,Lever,Inclined plane,Screw
Mercury_403680,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,1,iron and water,iron and oxygen,iron and air,iron and acid
Mercury_400223,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,1,reactants.,products.,catalysts.,inhibitors.
Mercury_184625,What role does the centromere play in cellular reproduction?,3,It is the area where microtubules are formed.,It is the area where the nucleus is during cell division.,It is the area of alignment for the chromosomes.,It is the area of attachment for chromatids.
MCAS_2005_8_14,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will",1,melt at -47.5°C.,melt at -95°C.,boil at 95°C.,boil at 47.5°C.
Mercury_409478,"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?",2,the mass of the driver and the fuel carried by the car,the wind resistance between the car and the air nearby,the waste heat from the combustion of fuel in the engine,the friction between the tires and the surface of the track
Mercury_7038325,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,1,pie graph,line graph,scatterplot,box-and-whisker plot
Mercury_SC_402624,"When light is bounced off a mirror, the light is",0,reflected.,refracted.,absorbed.,diffracted.
Mercury_185430,Which of the following sentences best explains what happens when puddles evaporate?,2,The water absorbs into the ground.,The particles of matter move more slowly.,The water changes from one form to another.,The particles of matter move closer together.
Mercury_SC_416101,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,3,to release gases,to release water,to absorb energy,to absorb nutrients
NYSEDREGENTS_2007_8_12,"In animal skin tissue, cell division is responsible for",0,growth and repair,sexual reproduction,obtaining energy,production of sex cells
Mercury_7239680,Which process drives most of the ATP synthesis in a chloroplast?,0,flow of protons across an electrochemical gradient,flow of tRNA across an electrochemical gradient,exposure of ADP to electromagnetic waves,exposure of carbohydrates to electromagnetic waves
NAEP_2000_8_S21+9,Which of the following is most consistent with the modern theory of evolution?,0,Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.,"Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.",Life on this planet came from another planet far out in space.,Living organisms have not changed for hundreds of millions of years.
Mercury_7164115,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,1,mixing the food coloring in water,testing the beaker of uncolored tap water,using the same amount of water in each trial,testing the colored water samples at different times
Mercury_7085365,One process in the formation of sedimentary rocks is when rocks are,2,compressed by moving plates.,heated and subjected to high pressure.,broken up and deposited in layers.,moved up along fault planes.
AIMS_2008_4_12,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,1,camouflage.,mimicry.,mutualism.,parasitism.
Mercury_400056,Which plant trait is inherited?,0,the shape of its leaves,the amount of water it receives,the number of minerals it absorbs from soil,the level of sunlight to which it is exposed
Mercury_SC_406463,"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?",3,It was used up.,It condensed.,It was absorbed by the heat.,It turned into water vapor.
Mercury_SC_408702,Howie put his plants under a plant light. What was he helping his plants do by providing light?,0,make food,attract insects,release pollen,grow roots
Mercury_406518,Which lists the diameter of the planets in order from smallest to largest?,3,"Venus, Earth, Mercury, Mars","Earth, Mars, Venus, Mercury","Mars, Mercury, Earth, Venus","Mercury, Mars, Venus, Earth"
Mercury_SC_410872,The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,1,one near the ocean,one with dry conditions,one with a variety of organisms,one that receives a lot of sunlight
Mercury_7107258,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused",1,by the reversal of the magnetic field of Earth.,when fluorocarbons are released into the atmosphere.,when electromagnetic waves from the Sun increase.,by abrupt changes in weather and climate patterns.
MCAS_2010_5_11992,Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?,3,cleavage,hardness,luster,streak
TIMSS_2011_4_pg91,Which of these animals has a young form that looks the most like the adult form?,1,moth,human,frog,butterfly
Mercury_7093275,Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,3,fossils,sediments,igneous rock,metamorphic rock
Mercury_7083493,A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,0,conduct a controlled experiment,discuss the statement with other students,ask several teachers their thoughts,propose a scientific conclusion
Mercury_SC_401793,Which object is powered by an electrical circuit?,1,a drum,a flashlight,a matchstick,a wind-up toy
Mercury_7245560,"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?",0,Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.,Mitochondria and chloroplasts arise from preexisting endomembrane systems.,Mitochondria and chloroplasts are synthesized in the nucleus.,Mitochondria and chloroplasts are synthesized in ribosomes.
VASoL_2010_5_1,Which of these human activities most relies on high-quality soil?,3,Hiking,Hunting,Coal mining,Growing crops
Mercury_SC_415075,What is an example of a shelter in an ecosystem?,1,a gray squirrel eating an acorn,a raccoon in a hollow log,a blue whale migrating,a tick feeding on a coyote
Mercury_7026408,Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,1,consume large amounts of food,become dormant for long periods,sense infrared and ultraviolet light,transpire water through the skin to the atmosphere
NAEP_2009_4_S11+2,Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,1,The eruption of a volcano,The erosion of the walls of a canyon,The uplifting of mountain ranges,The forming of dunes or mounds in a desert
Mercury_7081428,"When an earthquake wave passes from the crust to the mantle, the wave",1,reverses direction.,changes speed.,increases energy.,stops moving.
OHAT_2008_5_20,A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,1,gravitational force,magnetic force,electric force,friction force
MSA_2015_5_8,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,0,an earthquake shaking the ground,sediment washing into a bay,a rainstorm weathering rock,water flowing in stream
Mercury_7219135,"Since 1961, Nevada has led the United States in production of which resource?",0,gold,uranium,lumber,iron
Mercury_SC_407594,A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,3,test students who are the same height,have the students run on the same day,measure the distance each student runs,have the students run for the same amount of time
Mercury_7043505,Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,3,symbiosis,food webs,energy pyramids,succession
Mercury_SC_401733,The continuous changes of a seed to an adult plant that produces seeds is known as a,3,lunar cycle.,weekly cycle.,daily cycle.,life cycle.
Mercury_SC_402087,"When someone plays the flute, sound is produced because the air in the flute is",2,hot.,neutral.,vibrating.,vaporizing.
MSA_2015_5_24,Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,1,Pluto gets less sunlight than Earth's moon,the other planets are much larger than Pluto,the other planets have moons and Pluto does not,Pluto rotates on its axis and the other planets do not
Mercury_SC_401233,"When an iron nail wrapped in a copper wire is attached to a circuit, it forms",3,a battery.,an engine.,an insulator.,an electromagnet.
Mercury_7217788,Which gas accounts for the largest percentage of greenhouse gases in the atmosphere?,3,carbon monoxide,carbon dioxide,nitrous oxide,water vapor
ACTAAP_2007_7_20,Which human body system attacks viruses and bacteria once they have invaded the body?,3,circulatory,endocrine,digestive,immune
Mercury_7221165,The atoms that make up oxygen gas,0,share two covalent bonds.,have a definite shape.,share a pair of neutrons.,have two free electrons.
VASoL_2007_3_36,A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?,3,Gallons,Liters,Miles,Centimeters
Mercury_400498,"If the atomic mass number of an atom is 35, which statement is most accurate?",3,The atom is not an isotope.,The atomic number is less than 17.,The atom has an odd number of neutrons.,The number of protons does not equal the number of neutrons.
Mercury_7188388,Biotic components need to be recycled through an ecosystem. Which type of organisms are best able to recycle nutrients back into the ecosystem?,0,decomposers,predators,producers,scavengers
Mercury_7136115,"Roger visited his grandfather who lives on a farm. While he was there, he helped his grandfather move hay out of the barn. As Roger worked in the barn he began sneezing. Which system of the body most likely caused Roger to sneeze?",3,circulatory,excretory,digestive,immune
ACTAAP_2013_7_9,Why should plants be included in investigations about the water cycle?,2,Plants speed up the water cycle by removing carbon from the air.,Plants start the water cycle when they make water in photosynthesis.,Plants are part of the water cycle through the process of transpiration.,Plants stop the water cycle because they absorb it and stop the flow to streams.
AKDE&ED_2012_4_19,Which statement best identifies a basic need of all animals?,0,They need to eat.,They need to hide.,They need to jump.,They need to smell.
MCAS_2016_5_13,Which of the following describes an instinctive behavior?,3,a behavior that occurs only in adult fish,a behavior that occurs only in small mammals,a behavior that an animal learns how to do over time,a behavior that an animal is born knowing how to do
Mercury_7267873,Which of these provide the best evidence that life could develop on Mars?,3,its atmospheric gases,its surface temperatures,its craters and rocky surface,its ice and organic molecules
Mercury_SC_407162,The primary reason that plants are important for an ecosystem is because they,0,provide energy for consumers.,depend on other organisms for shelter.,break down dead animal matter.,consume nutrients for energy.
Mercury_7008890,Energy from the Sun reaches Earth by,0,radiation.,conduction.,convection.,thermal expansion.
Mercury_7235900,Scientists study the current conditions of many solar system objects to gain insight into conditions early in the history of Earth. Which phenomenon most closely models current theories of early Earth?,1,liquid forming valleys on Mars,hundreds of active volcanoes on Io,rock and ice forming the core of Neptune,ice covering the entire surface of Europa
Mercury_SC_408323,"Jonathan places a pot of water on a stove. As the water boils, how does the state of the water change?",1,from gas to liquid,from liquid to gas,from liquid to solid,from solid to liquid
Mercury_404795,Animal cells obtain energy by,1,processing sunlight.,absorbing nutrients.,growing.,dividing.
Mercury_7071628,Which illness is associated with a weakened immune system in the body?,1,tetanus,cancer,measles,rabies
Mercury_7183645,"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?",3,a pH imbalance,a pressure difference,a temperature increase,a concentration gradient
Mercury_7115448,The greatest amount of diversity can be found among which type of organism?,2,plants,animals,bacteria,fungi
Mercury_7223125,Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?,1,coal,geothermal,natural gas,petroleum
Mercury_7207428,"Until recently the Grand Canyon was thought to be about 5-6 million years old. Recently a scientist gathered data and wrote a paper for a scientific journal that indicated the canyon is about 17 million years old. Before this new information about the canyon is accepted, which of these needs to occur?",3,The scientist needs to publish additional papers.,The scientist needs to obtain government support.,Other scientists need to state their beliefs.,Many scientists need to evaluate the data.
Mercury_SC_400220,Which human trait is most likely inherited from a parent?,3,learning to ride a bike,holding a spoon,reading a book,height
MCAS_2005_9_2,Foam weather stripping is often placed in the frames of doors and windows in a home. What is the purpose of this weather stripping?,2,The weather stripping increases heat transfer by radiation.,Heat is conducted quickly through the weather stripping.,The weather stripping reduces heat loss due to convection.,Heat can transfer through the weather stripping due to reflection.
NYSEDREGENTS_2004_8_1,The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of,0,models,experiments,variables,controls
MCAS_2008_8_5701,"For a technology project, Kyle came up with an idea to build a model bridge. He wants his bridge to span 50 cm and to support a 1 kg object. According to the engineering design process, which of the following should be Kyle's next step?",1,construct prototypes of different kinds of bridges,research the different designs of bridges,gather the materials needed to build the bridge,make a drawing to show how to build the bridge
TIMSS_2011_8_pg118,Light travels fastest through which of the following?,3,air,glass,water,a vacuum
Mercury_SC_408414,Different systems of the human body perform different functions. Which system takes oxygen from the air to be moved by the circulatory system?,0,the respiratory system,the digestive system,the nervous system,the skeletal system
MCAS_2004_5_4,A solar cell turns sunlight into another form of energy. A solar cell is most like what natural structure?,1,an elephant's ears,a plant's leaves,a deer's hooves,a tree's roots
MCAS_2012_5_18,"The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?",0,the rotation of Earth on its axis,the revolution of the Sun around Earth,the Earth’s distance from the Sun,the properties of Earth’s atmosphere
OHAT_2009_5_44,What causes a blue block to appear blue in the sunlight?,2,The block absorbs all blue light.,The block bends (refracts) all blue light.,Only blue light is reflected by the block.,Only blue light passes through the block.
Mercury_7121958,A student determined the density of different bars of soap. Which should the student most likely do to check the accuracy of the results?,3,complete the experiment in one day,test multiple brands of soap,record data in metric units,repeat the experiment
Mercury_SC_400024,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",0,observing each object in water,measuring the size of each object,calculating the weight of the objects,comparing the shapes of the objects
Mercury_SC_405024,Liam lives in the Northern Hemisphere of Earth and plays in the snow in December. His friend lives in the Southern Hemisphere of Earth and plays at the beach in December. What is the best explanation for why this is possible?,0,tilt of Earth on its axis,rotation of Earth on its axis,revolution of Earth around the Sun,revolution of the Moon around Earth
CSZ_2004_5_CSZ10300,A scientist needs to take a picture of the well-ordered arrangements of the atoms and molecules within a substance. Which of the following instruments would be best for the scientist to use?,2,a laser light with holograph.,a seismograph.,an electron microscope.,a stereoscope.
Mercury_7212433,Gold atoms can be identified based on the number of which subatomic particles?,3,neutrons,electrons,nuclei,protons
Mercury_SC_402050,Which is needed for both boiling and melting to occur?,2,solids,gases,heat,pressure
NAEP_2005_8_S11+15,Which of the following is an example of genetic engineering?,2,Growing a whole plant from a single cell.,Finding the sequences of bases in plant DNA.,Inserting a gene into plants that makes them resistant to insects.,Attaching the root of one type of plant to the stem of another type of plant.
MCAS_2009_8_8,Which of the following is an example of a container that is filled with a pure substance rather than with a mixture?,2,a tire filled with air,a jar filled with salt water,a balloon filled with helium,a glass filled with chocolate milk
CSZ_2006_5_CSZ10326,Which best describes the role of the esophagus in digestion?,2,It releases acid and mixes food.,It aids in absorption of nutrients from food.,It carries food from the mouth to the stomach.,It carries food from the stomach to the intestines.
AKDE&ED_2012_4_46,Which change is most likely caused by a thunderstorm?,1,a glacier moving,a stream flooding,a volcano erupting,a mountain forming
Mercury_7213938,Which is an example of an organism that has been selectively bred for a particular genetic trait?,3,cats that eat mice,cows that graze on grass,pigs that form large herds,chickens that lay large eggs
Mercury_7033618,"Which of these can be described as a system of stars, gases, dust, and other matter that orbits a common center of gravity?",1,an asteroid,a galaxy,a nebula,a comet
Mercury_7144743,"The Florida Bog Frog (Lithobates okaloosae) inhabits shallow stream overflows in three counties in Florida. With such a small geographic habitat, any change in the frog's environment could cause drastic changes in the population. Which would most likely affect the frog population if acid rain changed the pH of the water?",1,Prey insects would become inedible.,Tadpoles would be unable to survive.,Breeding sites would become unavailable.,Predators would choose another food source.
Mercury_7248325,Which function do kidneys provide to maintain homeostasis?,3,the removal of excess heat from the body,the removal of carbon dioxide from the body,the removal of excess oxygen from the blood,the removal of nitrogenous wastes from the blood
Mercury_7001750,"While running, leg muscles work to move leg bones, and the skin helps to",0,regulate body temperature.,sense small changes in the heart rate.,transport nutrients to muscles.,maintain oxygen levels in the blood.
Mercury_7166898,"Rolanda is growing tomato plants in her garden. She has created a compost pile and has been adding compost around her tomato plants to help fertilize them. Compost is solid waste in which organic material is broken down by microorganisms in the presence of oxygen to where it can be safely stored, handled, and applied to the environment. On what does Rolanda primarily rely in order for composting to work?",3,producers,consumers,scavengers,decomposers
Mercury_7164605,"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?",3,the accumulation of the sound waves,the diffraction of the sound waves,the refraction of the sound waves,the reflection of the sound waves
Mercury_7114048,A scientist uses angstrom units to measure the distance between two points. The scientist is most likely measuring the distance between two,0,atoms.,cities.,continents.,stars.
Mercury_7220745,"Based on the evidence available at the time, early models of the solar system stated that all objects in space orbited Earth. In the 16th century, an astronomer reevaluated the evidence and proposed a model of the solar system that is still in use. What part of this model corrected the mistake in previous solar system models?",0,The Sun is at the center of this model.,Earth is the largest object in this model.,This model contains more than one star.,This model shows that Earth is stationary.
Mercury_7137655,The hormone insulin is secreted by the pancreas. Which activity is most likely to trigger an increase in the levels of insulin circulating in the blood?,1,driving,eating,jogging,sleeping
Mercury_7094850,"In gym class a student kicks a soccer ball high into the air. As the ball goes upward, which type of energy is increasing?",2,kinetic energy,thermal energy,potential energy,mechanical energy
Mercury_7043733,Which best describes the orbit of the Moon around Earth?,2,circular with a period of about one month,circular with a period of about one week,elliptical with a period of about one month,elliptical with a period of about one week
OHAT_2011_8_41,"In any physical or chemical process, what two quantities are always conserved?",0,matter and total energy,light and acoustic energy,density and thermal energy,gravity and potential energy
TIMSS_2003_8_pg5,The nucleus of MOST atoms consists of,1,neutrons only,protons and neutrons,protons and electrons,neutrons and electrons
MCAS_2008_8_5702,The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following?,2,the spread of disease,the availability of water,the recycling of nutrients,the distribution of organisms
