run_id,correct_answer,question,answer_option0,answer_option1,answer_option2,answer_option3,answer_option4
295535,4,April missed a call at 10 p.m.. She returned it 1 hour later. When did she return the call?,2 a.m.,12 a.m.,7 p.m.,1 a.m.,11 p.m.
296265,1,April missed a call at 6 p.m.. She returned it 11 hours later. When did she return the call?,11 a.m.,5 a.m.,8 p.m.,12 a.m.,6 a.m.
264128,1,Ginger bet Duke that no parkway is a knuckle. Ginger is a beer maker. Duke is a retail sales clerk. Which of them won the bet?,singer,brewer,soldier,accountant,retail sales clerk
259914,3,"Cherry needs hairspray, Wii, and charcoal grill. She already has charcoal grill and Wii. Where should she go?",fish market,confectionery,art supply store,hair salon,bookstore
189786,0,Which of these things is typically smallest?,space shuttle living quarters,stadium,factory building,Egyptian pyramid,naval ship
320773,3,Rob is raising one’s voice. Joy is expressing insecurity. Daisy is thanking someone. Which of them is most likely feeling madness?,Daisy,Joy,Charity,Rob,Cliff
320504,4,Daisy is idly hanging about. Charity is expressing a relief. Charity is bowing. Which of them is most likely feeling boredom?,Rob,Cliff,Charity,Joy,Daisy
259588,3,"Cherry needs home security alarms, baguettes, and watermelons. She already has home security alarms and watermelons. Where should she go?",office supply store,bicycle shop,farmer's market,bakery,bookstore
264000,4,Ginger bet Duke that no Sheldgoose is an urban area. Ginger is a pipe fitter. Duke is a florist. Which of them won the bet?,farmer,psychoanalyst,flight attendant,florist,plumber
336537,1,"In Strange Town, you're only allowed to engage in politics in the forest, you're only allowed to attend entertainment events in the graveyard, and you're only allowed to play a team sport in the theater district. Cliff is watching PG-rated films at a theater. Where is Cliff?",the financial district,the graveyard,the forest,the shipyard,the theater district
214185,1,"I follow the gluten free diet, so I don't eat ______?",goose meat,baklava,salmon,tuna steak,Jazz apple
159055,3,"Which of the following is 9 weeks after February 12, 1809?","February 12, 2709","May 12, 1808","February 3, 1809","April 16, 1809","February 13, 1809"
319579,4,Joy is commemorating the end of a war. Charity is pondering. Rob is hanging about idly. Which of them is most likely feeling patriotism?,Cliff,Rob,Charity,Daisy,Joy
259918,3,"Cherry needs prescription drugs, dry vermouth, and stationery products. She already has prescription drugs and dry vermouth. Where should she go?",electronics store,bicycle shop,cheese shop,office supply store,art supply store
160379,0,Which of the following is 5 minutes after 4:21 a.m. on day number 26 in December 1991?,"4:26 a.m. on December 26, 1991","11:21 p.m. on December 25, 1991","9:21 a.m. on December 26, 1996","4:21 a.m. on December 26, 2491","4:21 a.m. on December 26, 1986"
336027,1,"In Strange Town, you're only allowed to play board games in the forest, you're only allowed to play a musical instrument in the shipyard, and you're only allowed to engage in politics in the town square. Cliff is playing chess. Where is Cliff?",the campground,the forest,the financial district,the shipyard,the town square
263316,0,Duke bet Ginger that no primate is a howler monkey. Ginger is a farm worker. Duke is a drummer. Which of them won the bet?,farm worker,mobile ice cream vendor,flight attendant,drummer,manager
300668,0,Joy honoured Will. Daisy snubbed Will. Who made Will feel unhappy?,Daisy,Cliff,Joy,Rob,Charity
296998,1,"Only females who like strawberries are allowed on the basketball team. Only males who like pears are allowed on the hockey team. Daisy's son-in-law, Billie, likes all yellow fruits. Which team could Billie join?",the rugby team,the hockey team,the baseball team,the soccer team,the basketball team
296160,0,April missed a call at 5 a.m.. She returned it 7 hours later. When did she return the call?,noon,4 p.m.,1 p.m.,9 p.m.,9 a.m.
214262,1,It's too bad Bobby served ______. Everybody at the party follows the Halal diet.,tomato,Pilsner Urquell,brownie,frozen dessert food,green tomato
261823,3,"In Dill town, you can only buy herbs at Pepper's Store, and you can only buy grain at Rose's Store. In a strange coincidence, any time Basil is at Pepper's Store, Lily is at Pepper's Store, and any time he is at Rose's Store, she is at Cherry's Store. Basil is buying wormwood. Where is Lily?",Carrot's Store,Cherry's Store,Rosemary's Store,Pepper's Store,Rose's Store
324597,2,"In U.S. spring, Joy visits the shipyard every day. In U.S. summer, Joy visits the financial district every day. Where will Joy go on August 13?",the park,the campground,the financial district,the shipyard,the town square
319562,0,Rob is covering one’s face. Charity is breakdancing. Daisy is expressing a preoccupation. Which of them is most likely feeling fun?,Charity,Rob,Joy,Cliff,Daisy
260113,1,"Cherry needs Bourbon bourbon, electrical household appliances that are not a consumer electronic device, and sourdough bread. She already has sourdough bread and electrical household appliances that are not a consumer electronic device. Where should she go?",fruits and vegetables market,liquor store,sporting goods store,grocery store,art supply store
264187,3,Ginger bet Duke that no whale is a White-tipped mud crab. Ginger is a Professional cook. Duke is a florist. Which of them won the bet?,plumber,stockbroker,florist,Professional cook,lifeguard
294675,3,April missed a call at 4 a.m.. She returned it 3 hours later. When did she return the call?,6 a.m.,12 a.m.,noon,7 a.m.,2 a.m.
328435,3,Pick the thing which is typically the slowest.,B-52 bomber,Porsche 911 Series,steam locomotive,walrus,Boeing 747
189624,1,Pick the one which is usually larger than the others.,bagpipe,Chow Chow,roasting pan,bongo drum,lyre
336089,1,"In Strange Town, you're only allowed to play cards in the town square, you're only allowed to engage in politics in the campground, and you're only allowed to play board games in the theater district. Cliff is playing Yahtzee. Where is Cliff?",the forest,the theater district,the town square,the campground,the shipyard
320320,1,Rob is inquiring. Joy is performing a dance motion. Daisy is making obscene gestures. Which of them is most likely feeling curiosity?,Joy,Rob,Cliff,Charity,Daisy
319746,0,Charity is expressing sorrow. Daisy is imprecating. Charity is opposing. Which of them is most likely feeling anger?,Daisy,Cliff,Rob,Charity,Joy
267197,3,Penny is a Saint Bernard. How many jaws does she have?,10,9,4,1,5
189694,2,Which of these things is typically the tiniest?,bowl,room,fountain pen,inhaler canister holder,single-room office
143496,3,What immediately follows 1 p.m.?,spring,a.m.,6 a.m.,2 p.m.,August
260635,1,"In Dill town, you can only buy grains at Pepper's Store, and you can only buy blossoms at Cherry's Store. In a strange coincidence, any time Basil is at Pepper's Store, Lily is at Pepper's Store, and any time he is at Cherry's Store, she is at Pepper's Store. Basil is buying carnations. Where is Lily?",Rosemary's Store,Pepper's Store,Rose's Store,Carrot's Store,Cherry's Store
214179,0,It's too bad Bobby served ______. Everybody at the party follows the gluten free diet.,muffin,root vegetable,grape,radish,shrimp
264543,2,"On June 7, 1952, a person born on the 23rd of August 1933 would most likely be a ______.",school-age child,infant,teenager,child,preschool-age child
325339,1,"In U.S. winter, Joy visits the theater district every day. In U.S. summer, Joy visits the graveyard every day. Where will Joy go on July 11?",the shipyard,the graveyard,the town square,the campground,the theater district
320748,2,Rob is giving a reproachful look. Cliff is skinny dipping. Rob is avoiding playing the role do in speaking. Which of them is most likely feeling enjoyment?,Joy,Charity,Cliff,Daisy,Rob
260694,1,"In Dill town, you can only buy herbs at Cherry's Store, and you can only buy blooms at Rosemary's Store. In a strange coincidence, any time Basil is at Cherry's Store, Lily is at Carrot's Store, and any time he is at Rosemary's Store, she is at Pepper's Store. Basil is buying Basil. Where is Lily?",Cherry's Store,Carrot's Store,Pepper's Store,Rosemary's Store,Rose's Store
263112,0,Ginger bet Duke that no slightly breezy area is an entree. Ginger is an assistant professor. Duke is a pipe fitter. Which of them won the bet?,assistant professor,plumber,politician,magician,bank teller
319626,0,Rob is expressing boredom. Joy is writing a fan letter. Cliff is speaking softly. Which of them is most likely feeling diffidence?,Cliff,Rob,Charity,Joy,Daisy
319487,3,Daisy is founding of a country celebration. Joy is expressing envy. Cliff is covering one’s face. Which of them is most likely feeling shame?,Rob,Charity,Daisy,Cliff,Joy
319591,0,Joy is looking downward. Daisy is expressing approval. Cliff is grimacing. Which of them is most likely feeling solemnity?,Joy,Daisy,Rob,Charity,Cliff
300748,0,Rob tended Will. Joy lampooned Will. Who made Will feel grateful?,Rob,Charity,Daisy,Cliff,Joy
214166,4,What is forbidden by a gluten free diet?,buckwheat flour,beef,crabmeat,blue tang,vegan pizza
329880,3,Which of these things is typically the fastest?,infant,Segway,giant sequoia,adult,golf cart
297049,2,"Only males who like ripe eggplants are allowed on the rugby team. Only females who like tangerines are allowed on the soccer team. Daisy's husband, Billie, likes all mauve fruits. Which team could Billie join?",the basketball team,the soccer team,the rugby team,the baseball team,the hockey team
259999,3,"Cherry needs dry dog food, home fire alarms, and desk sets. She already has desk sets and dry dog food. Where should she go?",electronics store,cheese shop,butcher shop,appliance store,toy store
297066,2,"Only males who like honeydews are allowed on the hockey team. Only females who like fruit of the cloudberry are allowed on the basketball team. Daisy's daughter-in-law, Billie, likes all amber fruits. Which team could Billie join?",the hockey team,the baseball team,the basketball team,the soccer team,the rugby team
336395,3,Melody was extradited by Cliff. Melody shamed Cliff. Who did something affecting Cliff?,Rob,Cliff,Joy,Melody,Daisy
261035,2,"In Dill town, you can only buy blooms at Rose's Store, and you can only buy herbs at Cherry's Store. In a strange coincidence, any time Basil is at Rose's Store, Lily is at Rosemary's Store, and any time he is at Cherry's Store, she is at Cherry's Store. Basil is buying ginseng. Where is Lily?",Rose's Store,Rosemary's Store,Cherry's Store,Carrot's Store,Pepper's Store
296235,0,April missed a call at 10 p.m.. She returned it 1 hour later. When did she return the call?,11 p.m.,1 p.m.,2 a.m.,7 a.m.,12 a.m.
190326,4,Which of the following is typically smallest?,gasoline tank,briefcase,trash can,crib,Sumatran Striped Rabbit
262408,2,"In Dill town, you can only buy flesh at Rosemary's Store, and you can only buy herbs at Pepper's Store. In a strange coincidence, any time Basil is at Rosemary's Store, Lily is at Rose's Store, and any time he is at Pepper's Store, she is at Carrot's Store. Basil is buying canned salmon with bones. Where is Lily?",Carrot's Store,Pepper's Store,Rose's Store,Rosemary's Store,Cherry's Store
289644,0,______ typically last a few minutes.,changings a diaper,May tenths,March 31sts,November 28ths,Marches
319136,1,Daisy is holding. Charity is comforting. Daisy is pacing. Which of them is most likely feeling companionship?,Daisy,Charity,Joy,Rob,Cliff
313196,2,Joy acclaimed Charity. What was the action?,Charity,Joy,praising,taking care of,insulting
336331,1,Cliff was denigrated by Charity. Charity was chastised by Cliff. Who did something affecting Cliff?,Cliff,Charity,Daisy,Rob,Joy
190065,3,Pick the one which is typically larger than all the others.,lectern,oven,adult,hunter horse,human
214463,4,It's too bad Bobby served ______. Everybody at the party follows the Halal diet.,meat-free burgers,cassava,apple pie,lollipop,Scotch ale
300295,4,Daisy lambasted Will. Charity toasted Will. Who made Will feel embarrassed?,Rob,Cliff,Joy,Charity,Daisy
143938,0,10 o'clock in the morning always follows ______.,9 a.m.,6 a.m.,April,5 a.m.,July
248293,0,How long does a cold last?,between 1 and 9 days,between 1 and 80 minutes,1 decade,between 1 and 400 seconds,between 10 and 45 minutes
189334,3,Which of these would be the biggest?,human,chest freezer,clothes dryer,ping-pong table,washing machine
182042,3,"Which of the following is 7 full years after 10:37 p.m. on June 9, 1897?","10:37 p.m. on January 9, 1898","10:37 p.m. on June 9, 1827","5:37 a.m. on June 10, 1897","10:37 p.m. on June 9, 1904","10:44 p.m. on June 9, 1897"
319399,2,Daisy is snarling. Rob is throwing flowers. Cliff is nictitating. Which of them is most likely feeling adulation?,Daisy,Cliff,Rob,Joy,Charity
260169,2,"In Dill town, you can only buy meat at Rose's Store, and you can only buy blooms at Carrot's Store. In a strange coincidence, any time Basil is at Rose's Store, Lily is at Carrot's Store, and any time he is at Carrot's Store, she is at Rose's Store. Basil is buying dandelions that are anatomical parts of some given man discussing and preparing. Where is Lily?",Pepper's Store,Carrot's Store,Rose's Store,Rosemary's Store,Cherry's Store
143940,4,Sunday always follows ______.,9 p.m.,6 p.m.,p.m.,summer,Saturday
335891,0,"In Strange Town, you're only allowed to engage in politics in the park, you're only allowed to play a musical instrument in the campground, and you're only allowed to play a card game in the town square. Melody is playing poker. Where is Melody?",the town square,the park,the campground,the botanical garden,the financial district
214172,0,What is prohibited by a gluten free diet?,pastry,porterhouse steak,unripe banana,raisin,bone-in brisket
335724,3,"In Strange Town, you're only allowed to engage in politics in the graveyard, you're only allowed to attend entertainment events in the campground, and you're only allowed to play a team sport in the theater district. Joy is attending monologues. Where is Joy?",the park,the theater district,the graveyard,the campground,the financial district
313236,1,Rob excoriated Joy. What was the action?,rescuing,excoriating,Joy,Rob,shaming
191376,1,Which of these events takes less time than all the others?,taking out the garbage,turning off water,falling asleep,going to pre school,car washing
294469,3,April missed a call at 7 p.m.. She returned it 12 hours later. When did she return the call?,11 p.m.,9 a.m.,10 p.m.,7 a.m.,1 p.m.
263113,2,Ginger bet Duke that no root vegetable is an ancient civilization. Ginger is a pediatrician. Duke is a drug dealer. Which of them won the bet?,politician,drug dealer,pediatrician,mobile ice cream vendor,flight attendant
196961,4,The word “chipmunk” is written with ______ letters.,3,11,6,10,8
190319,3,Which of these things is typically smaller than all the others?,built-in oven,sandbox,dresser,Redbone Coonhound,wine cask
240644,3,"Between ______ and cow sharks, ______ are usually larger.",strings,whole grains,chemical objects,stadiums,microscopic objects
259452,4,"Cherry needs battery rechargers, hockey pucks, and paint. She already has hockey pucks and battery rechargers. Where should she go?",grocery store,farmer's market,bookstore,bait and tackle shop,art supply store
264397,0,"In order for an animal to play the doer role in ______, it must have a countenance.",blowing a kiss,looking downward done by a human,circulation of blood,throwing,waving one or both arms in the air
300887,3,Cliff lampooned Will. Daisy protected Will. Who made Will feel angry?,Rob,Charity,Daisy,Cliff,Joy
336563,4,Joy was kicked by Melody. Joy deprecated Cliff. Who did something affecting Joy?,Cliff,Rob,Joy,Daisy,Melody
263483,1,Duke bet Ginger that no pencil is a mechanical device. Ginger is a rancher. Duke is a director. Which of them won the bet?,accountant,rancher,lead guitarist,bank teller,manager
263332,0,Ginger bet Duke that no mountain is tofu. Ginger is a market broker. Duke is a drum player. Which of them won the bet?,stockbroker,Prime Minister,drummer,doctor,teacher
263304,0,Ginger bet Duke that no whale is two dining room residence. Ginger is a mathematician. Duke is a schoolteacher. Which of them won the bet?,mathematician,cowpoke,school teacher,rancher,maid
189371,1,Pick the thing which is usually bigger than the others.,oven,cargo aircraft,bicycle,desk,bookcase
264074,3,Ginger bet Duke that no indoor mall is Bourbon bourbon. Ginger is a lead guitarist. Duke is a thespian. Which of them won the bet?,academic,teacher,fast-food cook,lead guitarist,actor
336478,0,Cliff was seconded by Charity. Cliff covered Rob. Who did something affecting Cliff?,Charity,Cliff,Daisy,Rob,Joy
163569,0,Which of the following is 5 days after 0:55 a.m. on day number 3 in February 1959?,"0:55 a.m. on February 8, 1959","0:55 a.m. on February 3, 2009","5:55 a.m. on February 3, 1959","0:55 a.m. on January 29, 1959","0:55 a.m. on February 3, 1909"
193630,0,You write the word “complaint” with ______ letters.,9,11,8,4,10
313391,1,Charity was helped out by Rob. Who performed the action?,helping,Rob,Joy,Charity,Daisy
264075,0,Ginger bet Duke that no wombat is an industry. Ginger is a schoolteacher. Duke is a farmer. Which of them won the bet?,school teacher,farmer,rancher,fisherman,architect
319832,2,Rob is opening champagne. Daisy is involuntary body movement. Charity is giving the thumbs-up sign. Which of them is most likely feeling stress?,Cliff,Charity,Daisy,Joy,Rob
194256,2,How many letters are in the word “maintenance”?,6,3,11,9,8
325133,0,"In U.S. spring, Rob visits the town square every day. In U.S. autumn, Rob visits the botanical garden every day. Where will Rob go on September 17?",the botanical garden,the campground,the park,the town square,the financial district
336320,4,Daisy was burned by Cliff. Melody stated Cliff. Who did something affecting Cliff?,Rob,Joy,Cliff,Daisy,Melody
320794,2,Daisy is expressing malaise. Rob is flamenco dancing. Charity is fulfilling obligations. Which of them is most likely feeling feeling obliged?,Daisy,Joy,Charity,Rob,Cliff
329108,0,Pick the thing which is typically faster than all the others.,tank,riding mower,Segway,cruise ship,golf cart
263317,0,Duke bet Ginger that no stink bug is a gingiva. Ginger is a controller. Duke is a mover. Which of them won the bet?,mover,fast-food cook,astronomer,dairy worker,accountant
335897,0,"In Strange Town, you're only allowed to play board games in the forest, you're only allowed to play musical instruments in the shipyard, and you're only allowed to play a team sport in the theater district. Joy is playing Yahtzee. Where is Joy?",the forest,the shipyard,the park,the theater district,the financial district
329908,3,Which of the following isn't usually slower than any of the others?,steam locomotive,Formula 1 race car,dump truck,F-16 fighting falcon,B-52 bomber
294740,1,April missed a call at 8 p.m.. She returned it 2 hours later. When did she return the call?,4 p.m.,10 p.m.,8 p.m.,8 a.m.,3 p.m.
262424,3,"In Dill town, you can only buy herbs at Rose's Store, and you can only buy fruit at Carrot's Store. In a strange coincidence, any time Basil is at Rose's Store, Lily is at Rosemary's Store, and any time he is at Carrot's Store, she is at Rose's Store. Basil is buying citrus fruits. Where is Lily?",Cherry's Store,Rosemary's Store,Pepper's Store,Rose's Store,Carrot's Store
318650,2,Cliff was mocked by Charity. Who had the action done to them?,Daisy,mocking,Cliff,Charity,Joy
336169,3,"In Strange Town, you're only allowed to play a team sport in the theater district, you're only allowed to attend entertainment events in the botanical garden, and you're only allowed to play a card game in the shipyard. Daisy is using a badminton birdie in playing badminton. Where is Daisy?",the shipyard,the theater district,the park,the physical universe,the campground
319371,4,Charity is booing. Daisy is expressing nervousness. Rob is expressing disappointment. Which of them is most likely feeling dislike?,Daisy,Rob,Cliff,Joy,Charity
289768,0,What typically lasts 24 hours?,August fifth,rock climbing,mopping,whooping cough,having breakfast
261060,1,"In Dill town, you can only buy office products at Rosemary's Store, and you can only buy fruits at Carrot's Store. In a strange coincidence, any time Basil is at Rosemary's Store, Lily is at Rosemary's Store, and any time he is at Carrot's Store, she is at Pepper's Store. Basil is buying Ambrosia apples. Where is Lily?",Rosemary's Store,Pepper's Store,Rose's Store,Carrot's Store,Cherry's Store
300758,2,Cliff helped out Will. Rob appropriated Will. Who made Will feel angry?,Cliff,Joy,Rob,Daisy,Charity
263325,4,Ginger bet Duke that no for profit is a Gatling gun. Ginger is a district attorney. Duke is a cowgirl. Which of them won the bet?,kindergarten teacher,flight attendant,batter,cowgirl,prosecutor
320426,2,Rob is weeping. Joy is Latin dancing. Daisy is expressing excitement. Which of them is most likely feeling panic?,Charity,Cliff,Rob,Daisy,Joy
214753,3,"Jennifer adheres to the vegan diet program. When she came to dinner, she didn't eat ______?",vegan Mozzarella cheese,fruit of the almond tree,alcoholic beverage that is not beer,pig meat,Granny Smith apple
263637,0,Duke bet Ginger that no pear is a living creature. Ginger is a fast-food cook. Duke is a travel agent. Which of them won the bet?,travel agent,actor,florist,stockbroker,fast-food cook
259870,3,"Cherry needs bicycle seats, freezer-upright, and Sominex. She already has bicycle seats and Sominex. Where should she go?",cosmetics and beauty supply store,pet store,furniture store,appliance store,fruits and vegetables market
264619,3,A person born on day number 10 in July 1947 would most likely be a ______ on the seventh of June 1952.,thirtysomething,not yet born,preschool-age child,child,infant
319238,2,Cliff is turning away from something. Rob is bounding. Daisy is expressing nostalgia. Which of them is most likely feeling distrustfulness?,Joy,Rob,Cliff,Daisy,Charity
193645,1,The word “shark” has how many letters?,6,5,11,3,4
182386,1,"Which of the following is 4 decades after 10:10 a.m. on July 4, 1864?","2:10 p.m. on July 4, 1868","10:10 a.m. on July 4, 1904","10:10 a.m. on June 30, 1860","6:10 a.m. on July 4, 1864","10:10 a.m. on July 4, 1464"
319977,4,"In Purple Town, every florist shop is green, every cheese shop is rose brown, and every produce market is gray. Ebony needs peppers. What color store could she get it at?",blue,green,orange,deep red,gray
319486,3,Rob is expressing zest. Charity is shrugging. Rob is raising one’s arms in victory. Which of them is most likely feeling uncertainty?,Joy,Cliff,Rob,Charity,Daisy
214161,1,It's too bad Bobby served ______. Everybody at the party follows the gluten free diet.,fresh-baked goods,shortbread,blackcurrant,stork meat,meat that is not seafood
300731,0,Rob incriminated Will. Cliff mothered Will. Who made Will feel embarrassed?,Rob,Joy,Charity,Daisy,Cliff
260105,1,"Cherry needs sheet protectors, bulbs, and lures. She already has lures and sheet protectors. Where should she go?",toy store,lawn and garden store,sporting goods store,bookstore,bicycle shop
295626,3,April missed a call at 3 p.m.. She returned it 11 hours later. When did she return the call?,noon,9 a.m.,3 a.m.,2 a.m.,10 p.m.
320045,0,Daisy is expressing relief. Daisy is expressing zeal. Joy is screaming. Which of them is most likely feeling fright?,Joy,Rob,Cliff,Charity,Daisy
189674,4,Which of the following is typically larger than all the others?,inhaler canister,vial,french fry,adult mouse,heart
319903,4,"In Yellow Town, every fish market is pastel gray, every drugstore is deep dull bluish violet, and every appliance store is bright bluish green. Olive needs a clawed lobster. What color store could she get it at?",turquoise green,yellow,deep grayish lavender,purple,grayish yellow
324651,2,"In U.S. autumn, Charity visits the forest every day. In U.S. summer, Charity visits the botanical garden every day. Where will Charity go on June 4?",the shipyard,the town square,the botanical garden,the campground,the forest
193486,3,You write the word “library” with ______ letters.,8,9,10,7,5
294674,1,April missed a call at noon. She returned it 8 hours later. When did she return the call?,5 p.m.,8 p.m.,7 a.m.,9 p.m.,6 p.m.
196942,0,The word “gazelle” has how many letters?,7,9,11,8,10
319798,4,Cliff is jabbing. Joy is making an effort to acquire an object. Daisy is acting offended. Which of them is most likely feeling rage?,Joy,Charity,Rob,Daisy,Cliff
324791,4,"In U.S. winter, Charity visits the financial district every day. In U.S. autumn, Charity visits the park every day. Where will Charity go on January 6?",the campground,the forest,the park,the town square,the financial district
189693,1,Pick the thing which is usually smaller than the others.,single-room office,fountain pen,room,crib,trash can
320343,1,Joy is expressing admiration. Cliff is flipping someone off. Daisy is spitting. Which of them is most likely feeling irritability?,Joy,Cliff,Rob,Charity,Daisy
295993,0,April missed a call at 9 a.m.. She returned it 9 hours later. When did she return the call?,6 p.m.,9 a.m.,8 a.m.,4 a.m.,6 a.m.
